Major,Department
BMAC,BMGT
PMAM,ENGR
Z115,ENGR
ENAE,ENGR
PMAE,ENGR
Z053,ENGR
AREC,AGNR
AMST,ARHU
ANSC,AGNR
ANTH,BSOS
AAHP,ARCH
Z069,EDUC
ECAO,BSOS
ECAM,BSOS
MPAE,CMNS
AMSC,CMNS
APAN,BSOS
ARCH,ARCH
ARCP,ARCH
ARHP,ARCH
ARDV,ARCH
ARTH,ARHU
ASTR,CMNS
AOSC,CMNS
MPAO,CMNS
CAUD,BSOS
Z088,CMNS
BCHL,SPHL
MBCH,SPHL
MBCO,SPHL
Z141,BSOS
BCHM,CMNS
BIOE,ENGR
PMBI,ENGR
Z054,ENGR
MEBI,ENGR
Z083,ENGR
MPBC,CMNS
BISI,CMNS
BIPH,CMNS
BIOS,SPHL
BMBA,BMGT
EMBA,BMGT
CMBA,BMGT
OMBA,BMGT
BDBA,BMGT
BAAC,BMGT
BABA,BMGT
BAFN,BMGT
BAIS,BMGT
LMBA,BMGT
BAMA,BMGT
BNRS,BMGT
BPHR,BMGT
BMPO,BMGT
MBRE,BMGT
BMSW,BMGT
BASC,BMGT
BMAN,BMGT
OMAN,BMGT
BMSB,BMGT
OMBM,BMGT
BPHD,BMGT
ENCH,ENGR
PMCH,ENGR
Z055,ENGR
CLFS,CMNS
CHPH,CMNS
CHEM,CMNS
ENCE,ENGR
PMCE,ENGR
Z056,ENGR
CLAS,ARHU
MPPS,BSOS
COMM,ARHU
CMPL,ARCH
CPMB,ARCH
CPBI,ARCH
CPMI,ARCH
CPEP,ARCH
CPHL,ARCH
CPAE,ARCH
CPHP,ARCH
CPIM,INFO
LCPL,ARCH
CPPH,ARCH
CPPP,ARCH
CPDV,ARCH
VMSC,AGNR
CMLT,ARHU
CMSC,CMNS
COCP,EDUC
FCFT,SPHL
CRWR,ARHU
Z130,BSOS
CRIM,BSOS
CJCH,BSOS
MPCH,BSOS
Z121,BSOS
Z093,INFO
EDCI,EDUC
PMCY,ENGR
Z073,ENGR
MECY,ENGR
Z092,ENGR
DANC,ARHU
MPDJ,JOUR
Z104,CMNS
MPDA,CMNS
Z110,ARHU
Z074,BSOS
Z098,BSOS
ECON,BSOS
ENEE,ENGR
PMEE,ENGR
Z057,ENGR
Z112,ENGR
Z111,ENGR
PMSU,ENGR
Z066,ENGR
MEEE,ENGR
Z082,ENGR
MESW,ENGR
Z144,ENGR
MESE,ENGR
Z143,ENGR
ENGL,ARHU
ENTM,CMNS
ENST,AGNR
PMEN,ENGR
Z058,ENGR
MIEH,SPHL
ENVH,SPHL
EPDM,SPHL
EPID,SPHL
MUET,ARHU
AEED,AGNR
