name,course,year,season,average_rating,num_reviews,average_gpa,num_students
A Anthony,AMST203,2018,spring,1.0,1.0,2.4761904761904763,21.0
A Kruglanski,PSYC489H,2015,fall,2.0,1.0,,
A Sharma,ASTR300,2019,fall,1.0,1.0,,
A Sharma,ASTR300,2019,spring,1.5,2.0,2.8508771929824563,57.0
A Sharma,ASTR300,2020,fall,2.0,1.0,,
A Sharma,ASTR300,2021,winter,3.0,1.0,,
A.U. Shankar,CMSC216,2017,fall,1.0,1.0,2.6158333333333337,120.0
A.U. Shankar,CMSC216,2018,spring,2.0,1.0,,
A.U. Shankar,CMSC216,2018,winter,1.0,1.0,,
A.U. Shankar,CMSC216,2019,fall,1.0,2.0,1.9877192982456138,114.0
A.U. Shankar,CMSC216,2020,fall,3.0,4.0,2.2336000000000005,125.0
A.U. Shankar,CMSC216,2020,spring,2.0,2.0,2.696363636363636,55.0
A.U. Shankar,CMSC216,2021,fall,2.2,5.0,2.3196078431372547,102.0
A.U. Shankar,CMSC216,2022,winter,2.6666666666666665,3.0,,
A.U. Shankar,CMSC412,2012,fall,2.0,2.0,3.106060606060606,33.0
A.U. Shankar,CMSC412,2012,spring,5.0,1.0,2.823076923076923,39.0
A.U. Shankar,CMSC412,2013,winter,3.0,1.0,,
A.U. Shankar,CMSC412,2022,spring,4.0,1.0,2.4942857142857147,35.0
Aaron Bartlett,ENGL101,2020,fall,1.0,1.0,,
Aaron Bartlett,ENGL265,2022,fall,1.0,2.0,3.296551724137931,29.0
Aaron Bartlett,ENGL265,2023,spring,4.0,1.0,,
Aaron Finkle,ECON306,2019,spring,5.0,1.0,2.782,150.0
Aaron Finkle,ECON306,2021,fall,5.0,1.0,2.543027888446215,251.0
Aaron Finkle,ECON306,2021,winter,2.0,1.0,,
Aaron Finkle,ECON306,2022,fall,2.2,5.0,2.5648648648648646,259.0
Aaron Finkle,ECON306,2022,spring,2.0,1.0,2.575190839694656,262.0
Aaron Hood,HESI470,2018,spring,5.0,1.0,3.9101562499999996,128.0
Aaron Hood,HESI470,2020,spring,5.0,2.0,3.9151515151515146,66.0
Aaron Large,MATH003,2022,fall,5.0,3.0,,
Aaron Swanlek,COMM107,2020,fall,5.0,1.0,3.8385416666666665,96.0
Aaron Swanlek,COMM107,2020,spring,5.0,1.0,4.0,55.0
Aaron Swanlek,COMM107,2021,fall,5.0,3.0,3.9786666666666664,75.0
Aaron Swanlek,COMM107,2021,winter,5.0,2.0,,
Aaron Swanlek,COMM107,2022,spring,5.0,1.0,3.9714285714285715,35.0
Abdirisak Mohamed,INST314,2021,fall,1.0,1.0,2.4980392156862745,51.0
Abhijit Dasgupta,ENAE202,2019,fall,5.0,1.0,2.9625,24.0
Abhijit Dasgupta,ENME473,2022,fall,3.0,1.0,,
