name,course,slug,average_rating,num_ratings
A ANTHONY,AMST203,anthony,1.0,1.0
A SHARMA,ASTR300,sharma_a,1.75,4.0
A.U. SHANKAR,CMSC216,shankar_a.u.,2.2222222222222223,18.0
A.U. SHANKAR,CMSC412,shankar_a.u.,3.2,5.0
AARON BARTLETT,ENGL265,bartlett,2.0,3.0
AARON FINKLE,ECON306,finkle,2.5,8.0
AARON HOOD,HESI470,hood_aaron,5.0,2.0
AARON LARGE,MATH003,large_aaron,5.0,2.0
AARON SWANLEK,COMM107,swanlek,5.0,7.0
ABHIJIT DASGUPTA,ENME473,dasgupta_abhijit,4.0,2.0
ABHINAV BHATELE,CMSC416,bhatele,4.0,4.0
ABIGAIL MCEWEN,ARTH260,mcewen,2.5,2.0
ABIGAIL MCEWEN,ARTH260C,mcewen,4.5,2.0
ABIGAIL NICOLAS,PSYC234,nicolas_abigail,1.0,1.0
ABIGAIL NICOLAS,PSYC221,nicolas_abigail,5.0,8.0
ABIGAIL NICOLAS,PSYC100,nicolas_abigail,5.0,4.0
ABIGAIL UPSHAW,ARTH201,upshaw_abigail,2.5,2.0
ABOLHASSAN JAWAHERY,PHYS273,jawahery,4.5,2.0
ABOLHASSAN JAWAHERY,PHYS405,jawahery,4.0,1.0
ABRAM KAGAN,STAT400,kagan,2.3333333333333335,6.0
ABRAM KAGAN,STAT410,kagan,4.0,3.0
ADAM BINKLEY,PHSC497,binkley,5.0,1.0
ADAM BROCKETT,PSYC304,brockett_adam,5.0,2.0
ADAM HSIEH,BIOE120,hsieh,4.0,1.0
ADAM HSIEH,BIOE404,hsieh,3.857142857142857,7.0
ADAM KANIGOWSKI,MATH405,kanigowski,5.0,1.0
ADAM KANIGOWSKI,MATH406,kanigowski,4.333333333333333,3.0
ADAM PORTER,CMSC433,porter_adam,3.5,2.0
ADAM PORTER,CMSC436,porter_adam,2.0,9.0
ADAM TELATOVICH,MATH246,telatovich,2.5,4.0
ADAM TELATOVICH,STAT401,telatovich,4.0,1.0
ADAM TELATOVICH,MATH141,telatovich,2.0,2.0
ADI MAHALEL,GERM148Y,mahalel,5.0,1.0
ADI MAHALEL,JWST272,mahalel,3.0,2.0
ADIL HASSAM,PHYS121,hassam,4.25,4.0
ADIL HASSAM,PHYS410,hassam,5.0,1.0
ADIL HASSAM,PHYS601,hassam,4.0,1.0
ADINA DABU,BMGT364,dabu,5.0,1.0
ADITYA ACHARYA,CMSC250,acharya_aditya,4.666666666666667,3.0
ADITYA BHAT,INST414,bhat_aditya_ravindra,4.666666666666667,3.0
ADITYA BHAT,INST314,bhat_aditya_ravindra,5.0,1.0
ADRIANOS PAPAMARCOU,ENEE222,papamarcou,4.0,6.0
ADRIANOS PAPAMARCOU,ENEE322,papamarcou,5.0,3.0
ADRIANOS PAPAMARCOU,ENEE322H,papamarcou,3.0,1.0
ADRIANOS PAPAMARCOU,ENEE324,papamarcou,3.3333333333333335,3.0
ADRIANOS PAPAMARCOU,ENEE425,papamarcou,3.0,1.0
ADRIANOS PAPAMARCOU,ENEE620,papamarcou,4.0,1.0
AGISILAOS ILIADIS,ENEE313H,iliadis,2.6,5.0
AGISILAOS ILIADIS,ENEE313,iliadis,2.2222222222222223,9.0
AGNIESZKA ZELEROWICZ,MATH120,zelerowicz,1.0,8.0
AHMED HANAFY,ARAB104,hanafy,5.0,1.0
AHMED HANAFY,ARAB105,hanafy,5.0,1.0
AHMET AYDILEK,ENCE340,aydilek,3.4,5.0
AHMET KARAMUSTAFA,HIST319L,karamustafa,5.0,1.0
AHMET KARAMUSTAFA,PERS251,karamustafa,5.0,1.0
AIDA MAS,PHIL100,mas,4.0,1.0
AIDA MAS,PHIL140,mas,4.0,2.0
AIDA MAS,PHIL366,mas,2.6666666666666665,3.0
AKARSH RALHAN,AOSC201,ralhan,5.0,1.0
ALAN DREW,HACS208Y,drew_alan,1.0,1.0
ALAN KAUFMAN,GEOL100,kaufman_alan,1.0,1.0
ALAN KAUFMAN,GEOL124,kaufman_alan,2.0,2.0
ALAN LEHMAN,CCJS418P,lehman,5.0,1.0
ALAN LEHMAN,CCJS352,lehman,1.0,1.0
ALAN LEHMAN,CCJS300,lehman,4.583333333333333,12.0
ALAN LEHMAN,CCJS200,lehman,5.0,1.0
ALAN MONTROSO,ENGL101,montroso,5.0,3.0
ALAN MONTROSO,ENGL101S,montroso,5.0,2.0
ALAN MONTROSO,ENGL308C,montroso,5.0,1.0
ALAN NEUSTADTL,SOCY201,neustadtl,4.0,1.0
ALAN PEEL,ASTR230,peel,4.0,3.0
ALAN PEEL,ASTR330,peel,3.0,3.0
ALAN PEEL,CPSD100,peel,3.6,5.0
ALAN SUSSMAN,CMSC216,sussman,3.25,4.0
ALBA TORRENTS,ENCE215,torrents,2.0,6.0
ALBA TORRENTS,ENCE411,torrents,3.6666666666666665,3.0
ALBERT KYLE,BUFN726,kyle,5.0,1.0
ALBERT KYLE,BUFN773,kyle,1.0,1.0
ALBERTO BELLONI,PHYS371,belloni,5.0,1.0
ALBERTO BOLATTO,ASTR340,bolatto,3.6,5.0
ALBERTO BOLATTO,ASTR310,bolatto,1.5,2.0
ALBERTO BOLATTO,ASTR100,bolatto,4.0,1.0
ALBERTO BOLATTO,ASTR101,bolatto,4.0,1.0
ALEC SOLWAY,PSYC341,solway,5.0,1.0
ALEC SOLWAY,PSYC417,solway,5.0,1.0
ALEJANDRA MERCADO,ENEE322,mercado,5.0,4.0
ALEJANDRO VELAZCO,CMSC420,velazco,3.7857142857142856,14.0
ALESSANDRA GAVAGNI,ITAL203,gavagni,5.0,1.0
ALESSANDRA GAVAGNI,ITAL207,gavagni,5.0,1.0
ALESSANDRA PALAZZO,ECON402,palazzo,5.0,1.0
ALEX BLUMENTHAL,MATH240,blumenthal_alex,4.5,2.0
ALEX DONAHUE,ARCH171,donahue_alex,4.0,3.0
ALEX LEITCH,INST377,leitch,3.2,5.0
